kode_produk,nama_produk,harga_rupiah,stok,kategori,last_updated
"PRD00890","Baju Anak Perempuan",302000,"190","pakaian","2024-10-14 20:21:00"
"PRD00850","Sweater Rajut",403000,"177","pakaian","2024-06-14 00:00:00"
"PRD00891","Rok Anak",44000,"98","pakaian","2025-01-30 00:00:00"
"PRD00851","Baju Bayi",470080,"125","pakaian","2025-12-27 00:00:00"
"PRD00810","Baju Bayi",139040,"177","pakaian","2023-11-17 03:52:00"
"PRD00892","Baju Bayi",114080,"208","pakaian","2025-06-16 00:00:00"
"PRD00852","Kemeja Sekolah",0,"258","pakaian","2025-09-07 00:00:00"
"PRD00811","Blouse Wanita",249000,"88","pakaian","2025-07-04 16:54:00"
"PRD00893","Sepatu Casual",71000,"144","pakaian","2024-03-26 00:00:00"
"PRD00853","Jaket Hoodie",346000,"292","pakaian","2025-09-24 00:00:00"
"PRD00812","Jaket Hoodie",454000,"250","pakaian","2026-01-21 00:00:00"
"PRD00894","Dress Pesta",0,"156","pakaian","2025-05-03 00:00:00"
"PRD00854","Celana Jeans Pria",476000,"283","pakaian","2023-07-20 00:00:00"
"PRD00580","Baju Anak Laki-laki",54000,"89","pakaian","2024-05-08 14:38:00"
"PRD00813","Dress Pesta",460960,"93","pakaian","2025-12-20 02:38:00"
"PRD00895","Kaos Olahraga",242000,"212","pakaian","2025-08-28 06:02:00"
"PRD00855","Piyama Anak",0,"192","pakaian","2025-01-02 23:52:00"
"PRD00581","Topi Sekolah",404000,"18","pakaian","2023-08-26 23:30:00"
"PRD00814","Kaos Olahraga",141000,"106","pakaian","2023-07-21 00:00:00"
"PRD00540","Baju Bayi",0,"238","pakaian","2024-04-25 10:54:00"
"PRD00896","Jaket Hoodie",263040,"236","pakaian","2025-01-16 00:00:00"
"PRD00856","Rok Anak",0,"118","pakaian","2024-04-11 00:00:00"
"PRD00582","Sarung Tangan Bayi",328000,"131","pakaian","2025-08-05 00:00:00"
"PRD00815","Kemeja Sekolah",362000,"81","pakaian","2025-09-04 21:33:00"
"PRD00541","Rok Anak",0,"160","pakaian","2025-06-04 22:59:00"
"PRD00500","Blouse Wanita",34000,"105","pakaian","2024-01-14 00:00:00"
"PRD00897","Celana Jeans Pria",0,"148","pakaian","2025-09-04 09:04:00"
"PRD00857","Rok Anak",0,"66","pakaian","2025-04-29 09:30:00"
"PRD00583","Rok Anak",200,"218","pakaian","2025-11-28 04:42:00"
"PRD00816","Celana Jeans Pria",186000,"45","pakaian","2024-06-01 00:00:00"
"PRD00542","Jaket Hoodie",285000,"82","pakaian","2025-07-10 00:00:00"
"PRD00501","Sarung Tangan Bayi",414000,"237","pakaian","2023-06-21 06:05:00"
"PRD00898","Piyama Anak",206000,"209","pakaian","2024-09-11 15:29:00"
"PRD00584","Baju Anak Perempuan",387000,"244","pakaian","2024-11-04 00:00:00"
"PRD00817","Jaket Hoodie",108960,"286","pakaian","2024-11-19 00:00:00"
"PRD00543","Jaket Hoodie",0,"140","pakaian","2025-05-08 23:49:00"
"PRD00502","Celana Jeans Pria",91000,"262","pakaian","2023-12-26 11:12:00"
"PRD00899","Kaos Olahraga",69000,"104","pakaian","2025-04-16 18:28:00"
"PRD00858","Blouse Wanita",59000,"264","pakaian","2024-01-10 00:00:00"
"PRD00585","Kemeja Sekolah",0,"268","pakaian","2025-05-10 00:00:00"
"PRD00818","Sweater Rajut",291000,"142","pakaian","2026-03-28 10:03:00"
"PRD00544","Baju Anak Perempuan",277000,"160","pakaian","2025-07-11 00:00:00"
"PRD00270","Blouse Wanita",232000,"259","pakaian","2024-02-19 22:46:00"
"PRD00503","Blouse Wanita",0,"37","pakaian","2023-03-01 15:28:00"
"PRD00859","Blouse Wanita",81000,"285","pakaian","2025-05-26 00:00:00"
"PRD00586","Piyama Anak",0,"108","pakaian","2026-03-16 19:32:00"
"PRD00819","Kaos Olahraga",0,"117","pakaian","2025-01-19 17:22:00"
"PRD00545","Dress Pesta",382000,"21","pakaian","2023-08-06 14:30:00"
"PRD00271","Baju Anak Perempuan",403000,"203","pakaian","2023-12-28 12:38:00"
"PRD00504","Celana Jeans Pria",0,"235","pakaian","2024-09-26 17:52:00"
"PRD00230","Dress Pesta",0,"87","pakaian","2023-07-28 01:12:00"
"PRD00587","Dress Pesta",0,"55","pakaian","2023-03-06 21:53:00"
"PRD00546","Celana Jeans Pria",0,"262","pakaian","2025-06-21 17:36:00"
"PRD00272","Sweater Rajut",342000,"170","pakaian","2025-05-30 00:00:00"
"PRD00505","Jaket Hoodie",68000,"42","pakaian","2024-12-31 00:00:00"
"PRD00231","Kemeja Sekolah",421000,"168","pakaian","2023-01-23 00:00:00"
"PRD00588","Kaos Olahraga",0,"14","pakaian","2023-08-10 00:23:00"
"PRD00547","Jaket Hoodie",350000,"","pakaian","2024-10-20 05:23:00"
"PRD00273","Baju Bayi",197000,"11","pakaian","2025-10-20 00:00:00"
"PRD00506","Blouse Wanita",0,"32","pakaian","2024-03-11 00:00:00"
"PRD00232","Kemeja Sekolah",393000,"113","pakaian","2026-03-15 14:34:00"
"PRD00589","Piyama Anak",432960,"61","pakaian","2023-07-06 00:00:00"
"PRD00548","Rok Anak",292000,"225","pakaian","2025-10-29 16:26:00"
"PRD00274","Sepatu Casual",32000,"212","pakaian","2023-08-26 09:11:00"
"PRD00507","Topi Sekolah",326080,"165","pakaian","2025-12-21 00:00:00"
"PRD00233","Dress Pesta",25000,"45","pakaian","2026-05-02 00:00:00"
"PRD00549","Baju Anak Laki-laki",80000,"116","pakaian","2023-10-08 01:27:00"
"PRD00275","Baju Anak Laki-laki",129000,"132","pakaian","2024-11-28 03:03:00"
"PRD00508","Baju Anak Laki-laki",311000,"75","pakaian","2025-03-25 00:00:00"
"PRD00234","Sarung Tangan Bayi",307000,"158","pakaian","2025-11-07 11:16:00"
"PRD00276","Kaos Olahraga",198000,"98","pakaian","2023-02-20 00:00:00"
"PRD00509","Sweater Rajut",122000,"207","pakaian","2026-02-14 13:07:00"
"PRD00235","Baju Anak Laki-laki",265000,"85","pakaian","2025-10-25 03:26:00"
"PRD00277","Rok Anak",315000,"269","pakaian","2023-02-19 00:00:00"
"PRD00236","Baju Anak Perempuan",176000,"187","pakaian","2024-11-23 00:00:00"
"PRD00278","Kemeja Sekolah",167040,"47","pakaian","2025-07-01 00:00:00"
"PRD00237","Baju Anak Perempuan",216960,"251","pakaian","2023-06-14 00:00:00"
"PRD00279","Piyama Anak",496000,"152","pakaian","2025-06-15 00:00:00"
"PRD00238","Kaos Olahraga",281000,"38","pakaian","2024-03-18 00:00:00"
"PRD00239","Baju Anak Perempuan",425000,"268","pakaian","2024-06-12 00:00:00"
"PRD01810","Sweater Rajut",352000,"157","pakaian","2024-07-30 20:28:00"
"PRD01811","Sweater Rajut",0,"225","pakaian","2025-04-06 00:00:00"
"PRD01812","Sarung Tangan Bayi",50000,"125","pakaian","2025-08-22 00:00:00"
"PRD01813","Blouse Wanita",0,"286","pakaian","2025-11-18 00:00:00"
"PRD01580","Celana Jeans Pria",185000,"174","pakaian","2023-05-19 00:00:00"
"PRD01814","Dress Pesta",0,"192","pakaian","2023-11-27 14:26:00"
"PRD01581","Piyama Anak",433000,"","pakaian","2024-10-13 00:55:00"
"PRD01540","Baju Anak Laki-laki",68000,"5","pakaian","2023-09-04 16:58:00"
"PRD01815","Baju Anak Laki-laki",0,"33","pakaian","2025-09-15 23:27:00"
"PRD01582","Topi Sekolah",131000,"78","pakaian","2023-04-29 00:00:00"
"PRD01541","Baju Anak Laki-laki",0,"61","pakaian","2024-01-11 06:50:00"
"PRD01500","Jaket Hoodie",378000,"28","pakaian","2025-01-19 00:00:00"
"PRD01816","Jaket Hoodie",92960,"11","pakaian","2023-07-20 00:00:00"
