"kode_produk","nama_produk","harga","stok","kategori","last_updated"
"PRD00001","kaos olahraga","$3.63","231","pakian","29 Sep 2024"
"PRD00002","  kaos olahraga","Rp 45,000","","PAKAIAN","2025/02/17"
"PRD00003"," sweater rajut","480000","291","PAKAIAN","01/10/2025 07:49"
"PRD00004"," sarung tangan  bayi","Rp 75,000","163","pakian","2025-12-04 12:46:00"
"PRD00005"," blouse wanita  ","Rp459000,-","16","pakian","1769496240"
"PRD00006"," sarung tangan bayi","$6.19","","clothes","1734625440"
"PRD00007"," blouse wanita","Rp173000,-","","pakaian","12-04-2023"
"PRD00008","KEMEJA SEKOLAH ","209rb","118","clothes","07-18-2024"
"PRD00009","   baju anak laki-laki  ","358000","172","pakaian","11-26-2023"
"PRD00010","kaos olahraga","Rp 276,000","164","PAKAIAN","1698268560"
"PRD00011","BaJu Bayi ",,"79","clothes","10-18-2023"
"PRD00012","jaket hoodie ","268000","95","pakaian","2025-08-18 12:53:00"
"PRD00013"," KEMEJA  SEKOLAH",,"219","PAKAIAN","09/11/2024 01:58"
"PRD00014","celana jeans pria","Rp28000,-","41","clothes","13/06/2025 01:07"
"PRD00015","BaJu Bayi",,"139","PAKAIAN","22/09/2025 23:31"
"PRD00016","sweater rajut","Rp 181,000","11","pakian","12/11/2025 11:43"
"PRD00017","rok anak","197000","87","pakaian","28/01/2026 04:15"
"PRD00018"," topi sekolah","Rp 254,000","123","pakaian","2025/07/17"
"PRD00019"," sweater  rajut    ","Rp 244,000","206","PAKAIAN","12-04-2023"
"PRD00020","dress  pesta   ","Rp 231,000","263","PAKAIAN","16 Apr 2023"
"PRD00021","topi sekolah","Rp 131,000","100","PAKAIAN","1681196640"
"PRD00022","BaJu Bayi ","113000","50","PAKAIAN","2023-09-05 19:22:00"
"PRD00023","kaos olahraga","","196","clothes","2023/03/08"
"PRD00024","KEMEJA SEKOLAH","496000","179","PAKAIAN","19 Dec 2023"
"PRD00025","sweater  rajut","$12.75","209","PAKAIAN","2023/04/23"
"PRD00026","BaJu Bayi","302rb","75","PAKAIAN","2023/12/16"
"PRD00027","   sepatu casual",,"179","PAKAIAN","01-30-2025"
"PRD00028","sweater rajut ","60000","248","pakaian","1769201580"
"PRD00029","BaJu  Bayi","167000","251","pakian","06-09-2024"
"PRD00030"," sarung tangan  bayi","497000","271","clothes","14 Aug 2025"
"PRD00031","jaket hoodie  ","229000","36","pakaian","08-01-2025"
"PRD00032","BAJU ANAK PEREMPUAN","Rp 292,000","140","clothes","1695020820"
"PRD00033","dress  pesta","436000","291","pakaian","14 Aug 2025"
"PRD00034","piyama anak  ","Rp304000,-","41","clothes","05-22-2023"
"PRD00035"," kaos olahraga    ","$7.00","60","PAKAIAN","2025-04-03 20:57:00"
"PRD00036","BaJu Bayi",,"30","pakian","1680338760"
"PRD00037","   blouse wanita  ","$12.56","97","PAKAIAN","1740943140"
"PRD00038","rok anak  ","457000","256","PAKAIAN","1734730200"
"PRD00039","  blouse wanita ","","207","PAKAIAN","2024-01-05 14:48:00"
"PRD00040","sepatu  casual ","82rb","259","PAKAIAN","03/04/2023 02:20"
"PRD00041","BAJU ANAK  PEREMPUAN","Rp 121,000","275","pakaian","06-05-2023"
"PRD00042","BAJU ANAK PEREMPUAN ",,"183","pakaian","1680899640"
"PRD00043","kaos olahraga","292rb","6","PAKAIAN","2025-08-20 05:44:00"
"PRD00044","sarung tangan bayi   ","134000","69","pakian","2023-02-27 12:43:00"
"PRD00045","   blouse wanita  ",,"254","pakian","2023/11/08"
"PRD00046","blouse wanita",,"106","clothes","19 Nov 2025"
"PRD00047","sweater  rajut  ","Rp33000,-","107","PAKAIAN","2024-03-02 02:10:00"
"PRD00048","sweater rajut ","","11","PAKAIAN","19/06/2025 05:38"
"PRD00049"," BAJU ANAK PEREMPUAN","Rp 217,000","267","pakaian","2025/06/13"
"PRD00050","BaJu Bayi   ","Rp273000,-","299","clothes","03-29-2023"
"PRD00051","celana jeans pria","$19.06","165","pakaian","04-12-2026"
"PRD00052","BaJu Bayi","$17.88","3","pakian","2023/03/08"
"PRD00053","KEMEJA SEKOLAH","Rp275000,-","224","pakian","26 Oct 2025"
"PRD00054","sepatu casual  ","Rp382000,-","180","pakian","07 Apr 2026"
"PRD00055","sepatu casual","$22.25","266","pakian","30/09/2025 14:18"
"PRD00056","   sepatu casual","Rp 201,000","19","pakian","2023-01-22 07:48:00"
"PRD00057","kaos olahraga   ","","257","pakian","04 Jan 2026"
"PRD00058","  piyama anak","269rb","299","clothes","03 Sep 2025"
"PRD00059","KEMEJA SEKOLAH","","50","pakian","11/09/2025 06:26"
"PRD00060","dress pesta  ","358000","70","clothes","2023/04/08"
"PRD00061","blouse wanita  ","138rb","106","pakaian","2024-10-18 05:32:00"
"PRD00062","sarung  tangan bayi","","76","clothes","1727912520"
"PRD00063","   topi sekolah","$25.81","94","PAKAIAN","01-08-2023"
"PRD00064"," rok anak","198rb","87","pakian","09 Sep 2023"
"PRD00065","celana jeans pria","","220","clothes","25/07/2025 14:24"
"PRD00066","blouse wanita",,"231","pakian","2025/11/21"
"PRD00067","BAJU  ANAK PEREMPUAN","Rp 98,000","166","pakaian","2023-11-24 23:43:00"
"PRD00068","topi sekolah","","195","pakaian","05-18-2025"
"PRD00069","  dress  pesta","$30.13","","PAKAIAN","08/12/2023 20:43"
"PRD00070","  kaos olahraga  ","Rp 203,000","","PAKAIAN","2025/02/09"
"PRD00071","baju anak laki-laki",,"278","clothes","2023-05-27 22:17:00"
"PRD00072","BAJU ANAK PEREMPUAN","","207","pakian","1745564820"
"PRD00073","  KEMEJA  SEKOLAH ","$27.88","157","clothes","2023/10/22"
"PRD00074","blouse wanita","Rp 316,000","145","pakian","2023-07-16 14:10:00"
"PRD00075","baju anak laki-laki","407000","87","clothes","2023-02-07 14:39:00"
"PRD00076","topi sekolah ","71000","","clothes","2026-03-08 07:49:00"
"PRD00077","celana jeans pria ","261000","104","pakian","04/02/2026 04:17"
"PRD00078","baju anak  laki-laki ","328000","74","PAKAIAN","2024/03/31"
"PRD00079","   topi sekolah","Rp67000,-","90","pakaian","28/06/2024 14:07"
"PRD00080","dress pesta   ","$5.13","170","pakian","2023-01-25 13:59:00"
"PRD00081","  topi sekolah","","285","clothes","01-04-2026"
"PRD00082","sweater rajut ","239000","69","pakian","1746107400"
"PRD00083","celana jeans pria","Rp 303,000","192","PAKAIAN","27 Feb 2025"
"PRD00084","sepatu casual ","Rp 337,000","64","pakaian","13/10/2023 20:09"
"PRD00085","sweater rajut","190000","225","pakian","06-27-2025"
"PRD00086","kaos  olahraga","Rp113000,-","102","PAKAIAN","12-29-2025"
"PRD00087","BAJU  ANAK PEREMPUAN    ","","219","PAKAIAN","2024-04-23 18:45:00"
"PRD00088","rok  anak",,"83","pakian","1774996500"
"PRD00089"," sepatu casual","","1","pakian","2024-10-04 09:52:00"
"PRD00090","BAJU ANAK  PEREMPUAN    ","$3.19","178","pakaian","2026-03-26 10:59:00"
"PRD00091"," baju anak laki-laki","$6.88","232","PAKAIAN","04-28-2023"
"PRD00092","kaos olahraga ","","170","clothes","06-12-2023"
"PRD00093","  BaJu Bayi ","","125","PAKAIAN","2025-05-30 22:08:00"
"PRD00094","KEMEJA SEKOLAH ","289000","220","PAKAIAN","13 Nov 2025"
"PRD00095"," blouse wanita   ","251rb","217","pakaian","17/08/2023 03:15"
"PRD00096","BAJU  ANAK PEREMPUAN ","46000","93","pakian","27 Apr 2024"
"PRD00097","KEMEJA SEKOLAH","$23.31","216","pakian","30 Aug 2023"
"PRD00098"," dress pesta","","278","pakaian","2026/03/12"
"PRD00099","  celana jeans pria","453000","76","clothes","1768154580"
"PRD00100","BaJu  Bayi ","82000","248","clothes","1771989420"
"PRD00101","celana jeans pria","$6.38","128","pakaian","2026/03/09"
"PRD00102","baju anak  laki-laki","472rb","96","pakaian","05-07-2023"
"PRD00103","celana jeans pria   ",,"193","clothes","29/03/2026 23:06"
"PRD00104","dress pesta","","147","pakaian","2023-04-30 22:20:00"
"PRD00105","sepatu casual","Rp268000,-","292","pakian","2025/06/28"
"PRD00106","sweater rajut ","Rp 444,000","15","PAKAIAN","04 Apr 2023"
"PRD00107","  sweater rajut","Rp184000,-","229","pakian","2026-03-27 11:37:00"
"PRD00108"," baju anak  laki-laki",,"263","pakian","09-05-2025"
"PRD00109","kaos olahraga",,"154","clothes","04-11-2025"
"PRD00110","  topi sekolah ","177000","257","pakian","2024/09/12"
"PRD00111","kaos olahraga","241rb","111","pakian","2025-02-20 15:25:00"
"PRD00112","  celana  jeans pria",,"78","clothes","1744481400"
"PRD00113","  piyama  anak","Rp 183,000","99","pakaian","05-11-2023"
"PRD00114","  BaJu  Bayi","288rb","82","pakaian","2025/09/11"
"PRD00115","kaos  olahraga","$30.94","39","clothes","02-19-2025"
"PRD00116","KEMEJA SEKOLAH  ","Rp469000,-","108","pakian","2023-01-21 15:57:00"
"PRD00117","  KEMEJA SEKOLAH  ","Rp243000,-","264","pakian","06-24-2025"
"PRD00118","BaJu Bayi","498000","179","clothes","2023-06-10 22:26:00"
"PRD00119","BAJU ANAK PEREMPUAN ",,"128","pakaian","2024/10/09"
"PRD00120","   celana jeans pria  ","Rp 468,000","283","pakaian","27/02/2026 15:18"
"PRD00121","   BaJu  Bayi ","Rp 274,000","5","clothes","08-27-2024"
